id,app_name,category,website,one_line_description,auth_methods,credential_access,self_serve_status,api_protocols,api_breadth,mcp_available,buildability,main_blocker,evidence_url,confidence,verification_status,notes
22,Twilio,Communications/Messaging,https://www.twilio.com/docs/usage/api,"Messaging, communications, voice or collaboration platform.",API key/secret; OAuth2,Self-serve trial,Self-serve trial,REST,Broad,Official/third-party MCP ecosystem,High,Account credentials and product-specific APIs,https://www.twilio.com/docs/usage/api,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
23,Zoho Cliq,Communications/Messaging,https://www.zoho.com/cliq/help/restapi,"Messaging, communications, voice or collaboration platform.",OAuth2; token,Self-serve,Self-serve,REST,Moderate,None found,High,Scopes,https://www.zoho.com/cliq/help/restapi,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
24,Lark,Communications/Messaging,https://open.larksuite.com,"Messaging, communications, voice or collaboration platform.",OAuth2; app credentials,Self-serve,Self-serve,REST,Broad,None found,High,Tenant/app approval,https://open.larksuite.com,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
25,Pumble,Communications/Messaging,https://pumble.com,"Messaging, communications, voice or collaboration platform.",OAuth2; token,Self-serve,Self-serve,REST,Moderate,None found,Medium,Developer access/documentation depth,https://pumble.com,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
26,Discord,Communications/Messaging,https://discord.com/developers/docs,"Messaging, communications, voice or collaboration platform.",OAuth2; bot token,Self-serve,Self-serve,REST + Gateway,Broad,Third-party ecosystem,High,Bot/app scopes,https://discord.com/developers/docs,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
27,Telegram,Communications/Messaging,https://core.telegram.org/bots/api,"Messaging, communications, voice or collaboration platform.",Bot token,Self-serve,Self-serve,REST,Broad,Third-party ecosystem,High,Bot token,https://core.telegram.org/bots/api,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
28,WhatsApp Business,Communications/Messaging,https://developers.facebook.com/docs/whatsapp,"Messaging, communications, voice or collaboration platform.",OAuth2; access token,Admin approval/business verification,Admin approval/business verification,REST,Broad,Official/third-party MCP ecosystem,Medium,Business portfolio/app review,https://developers.facebook.com/docs/whatsapp,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
29,Aircall,Communications/Messaging,https://developer.aircall.io,"Messaging, communications, voice or collaboration platform.",OAuth2,Self-serve trial,Self-serve trial,REST,Broad,None found,High,App authorization,https://developer.aircall.io,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
30,Vonage,Communications/Messaging,https://developer.vonage.com,"Messaging, communications, voice or collaboration platform.",API key/secret; OAuth2/JWT,Self-serve,Self-serve,REST,Broad,Third-party ecosystem,High,Product-specific credentials,https://developer.vonage.com,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
31,Google Ads,Marketing/Ads/Email/Social,https://developers.google.com/google-ads,"Marketing, advertising, email, social or campaign automation platform.",OAuth2; developer token,Self-serve with restrictions,Self-serve with restrictions,REST; gRPC,Broad,Third-party ecosystem,Medium,Developer token + OAuth,https://developers.google.com/google-ads,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
32,Meta Ads,Marketing/Ads/Email/Social,https://developers.facebook.com/docs/marketing-apis,"Marketing, advertising, email, social or campaign automation platform.",OAuth2; access token,Self-serve with restrictions,Self-serve with restrictions,REST,Broad,Third-party ecosystem,Medium,App review/permissions,https://developers.facebook.com/docs/marketing-apis,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
33,LinkedIn Ads,Marketing/Ads/Email/Social,https://learn.microsoft.com/linkedin/marketing,"Marketing, advertising, email, social or campaign automation platform.",OAuth2,Admin approval/app review,Admin approval/app review,REST,Broad,None found,Medium,Marketing API permissions/review,https://learn.microsoft.com/linkedin/marketing,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
34,GoHighLevel,Marketing/Ads/Email/Social,https://highlevel.stoplight.io,"Marketing, advertising, email, social or campaign automation platform.",OAuth2; API key,Self-serve,Self-serve,REST,Broad,Third-party ecosystem,High,Marketplace/app scopes,https://highlevel.stoplight.io,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
35,Mailchimp,Marketing/Ads/Email/Social,https://mailchimp.com/developer,"Marketing, advertising, email, social or campaign automation platform.",OAuth2; API key,Self-serve,Self-serve,REST,Broad,Third-party ecosystem,High,API key/OAuth,https://mailchimp.com/developer,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
36,Klaviyo,Marketing/Ads/Email/Social,https://developers.klaviyo.com,"Marketing, advertising, email, social or campaign automation platform.",API key/private key; OAuth2,Self-serve,Self-serve,REST,Broad,Third-party ecosystem,High,Scopes,https://developers.klaviyo.com,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
37,systeme.io,Marketing/Ads/Email/Social,https://systeme.io,"Marketing, advertising, email, social or campaign automation platform.",API key,Self-serve,Self-serve,REST,Moderate,None found,Medium,API access varies by plan,https://systeme.io,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
38,Pinterest,Marketing/Ads/Email/Social,https://developers.pinterest.com,"Marketing, advertising, email, social or campaign automation platform.",OAuth2,Self-serve with restrictions,Self-serve with restrictions,REST,Broad,Third-party ecosystem,Medium,App access/scopes,https://developers.pinterest.com,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
39,Threads,Marketing/Ads/Email/Social,https://developers.facebook.com/docs/threads,"Marketing, advertising, email, social or campaign automation platform.",OAuth2,Self-serve with restrictions,Self-serve with restrictions,REST,Moderate,Third-party ecosystem,Medium,Meta app/scopes,https://developers.facebook.com/docs/threads,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
40,SendGrid,Marketing/Ads/Email/Social,https://docs.sendgrid.com,"Marketing, advertising, email, social or campaign automation platform.",API key; OAuth2,Self-serve trial,Self-serve trial,REST,Broad,Third-party ecosystem,High,API key,https://docs.sendgrid.com,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
41,Shopify,Ecommerce,https://shopify.dev,"Commerce, storefront, marketplace or merchant platform.",OAuth2; access token,Self-serve,Self-serve,GraphQL + REST,Broad,Official/third-party MCP ecosystem,High,App scopes; REST legacy for new public apps,https://shopify.dev,High,research-pass; audit recommended,Official Shopify docs: GraphQL Admin API is broad; access token required; OAuth used for public/custom app tokens.
42,WooCommerce,Ecommerce,https://woocommerce.com/document/woocommerce-rest-api,"Commerce, storefront, marketplace or merchant platform.",API key/secret; OAuth1 for legacy flows,Self-serve,Self-serve,REST,Broad,Third-party ecosystem,High,Store credentials,https://woocommerce.com/document/woocommerce-rest-api,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
43,BigCommerce,Ecommerce,https://developer.bigcommerce.com,"Commerce, storefront, marketplace or merchant platform.",OAuth2; access token,Self-serve,Self-serve,REST + GraphQL,Broad,Third-party ecosystem,High,Store/app scopes,https://developer.bigcommerce.com,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
44,Salesforce Commerce Cloud,Ecommerce,https://developer.salesforce.com/docs/commerce,"Commerce, storefront, marketplace or merchant platform.",OAuth2,Paid/admin approval,Paid/admin approval,REST,Broad,None found,Medium,Enterprise instance/access,https://developer.salesforce.com/docs/commerce,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
45,Magento/Adobe Commerce,Ecommerce,https://developer.adobe.com/commerce,"Commerce, storefront, marketplace or merchant platform.",OAuth2; integration token,Self-serve/paid,Self-serve/paid,REST + GraphQL,Broad,Third-party ecosystem,High,Store/admin integration,https://developer.adobe.com/commerce,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
46,Squarespace,Ecommerce,https://developers.squarespace.com,"Commerce, storefront, marketplace or merchant platform.",API key; OAuth2,Self-serve,Self-serve,REST,Moderate,None found,Medium,API availability by product,https://developers.squarespace.com,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
47,Ecwid,Ecommerce,https://api-docs.ecwid.com,"Commerce, storefront, marketplace or merchant platform.",OAuth2; token,Self-serve,Self-serve,REST,Broad,None found,High,App registration,https://api-docs.ecwid.com,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
48,Gumroad,Ecommerce,https://gumroad.com/api,"Commerce, storefront, marketplace or merchant platform.",OAuth2; access token,Self-serve,Self-serve,REST,Moderate,None found,High,App registration,https://gumroad.com/api,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
49,Amazon SP-API,Ecommerce,https://developer-docs.amazon.com/sp-api,"Commerce, storefront, marketplace or merchant platform.",OAuth2/LWA; AWS/IAM signing,Admin approval/partner-like,Admin approval/partner-like,REST,Broad,Third-party ecosystem,Medium,Seller authorization + roles + signing,https://developer-docs.amazon.com/sp-api,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
50,fanbasis,Ecommerce,https://fanbasis.com,"Commerce, storefront, marketplace or merchant platform.",API key; OAuth2,Paid/admin approval,Paid/admin approval,REST,Narrow,None found,Low,Limited public developer surface,https://fanbasis.com,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
51,DataForSEO,Data/SEO/Scraping,https://docs.dataforseo.com,"Data acquisition, SEO, enrichment, scraping or research platform.",API login/password; token,Self-serve paid/trial,Self-serve paid/trial,REST,Broad,None found,High,Account credits,https://docs.dataforseo.com,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
52,SE Ranking,Data/SEO/Scraping,https://seranking.com/api,"Data acquisition, SEO, enrichment, scraping or research platform.",API key,Paid,Paid,REST,Moderate,None found,Medium,API access/plan,https://seranking.com/api,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
53,Ahrefs,Data/SEO/Scraping,https://ahrefs.com/api,"Data acquisition, SEO, enrichment, scraping or research platform.",API token,Paid,Paid,REST,Broad,None found,Medium,API plan/access,https://ahrefs.com/api,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
54,MrScraper,Data/SEO/Scraping,https://docs.mrscraper.com,"Data acquisition, SEO, enrichment, scraping or research platform.",API key,Self-serve paid/trial,Self-serve paid/trial,REST,Moderate,None found,High,Credits/plan,https://docs.mrscraper.com,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
55,Apify,Data/SEO/Scraping,https://docs.apify.com,"Data acquisition, SEO, enrichment, scraping or research platform.",API token,Self-serve,Self-serve,REST,Broad,Official/third-party MCP ecosystem,High,Token,https://docs.apify.com,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
56,Firecrawl,Data/SEO/Scraping,https://docs.firecrawl.dev,"Data acquisition, SEO, enrichment, scraping or research platform.",API key,Self-serve,Self-serve,REST,Broad,Official/third-party MCP ecosystem,High,API key/plan limits,https://docs.firecrawl.dev,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
57,Bright Data,Data/SEO/Scraping,https://brightdata.com,"Data acquisition, SEO, enrichment, scraping or research platform.",API key/zone credentials,Self-serve paid,Self-serve paid,REST,Broad,Third-party ecosystem,Medium,Paid usage/zone setup,https://brightdata.com,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
58,Sherlock,Data/SEO/Scraping,https://github.com/sherlock-project/sherlock,"Data acquisition, SEO, enrichment, scraping or research platform.",CLI/local,Self-serve,Self-serve,None,Narrow,None,Medium,CLI rather than hosted API,https://github.com/sherlock-project/sherlock,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
59,Waterfall.io,Data/SEO/Scraping,https://waterfall.io,"Data acquisition, SEO, enrichment, scraping or research platform.",API key/enterprise credentials,Contact sales,Contact sales,REST,Moderate,None found,Low,Enterprise access,https://waterfall.io,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
60,Clay,Data/SEO/Scraping,https://clay.com,"Data acquisition, SEO, enrichment, scraping or research platform.",API key; OAuth2,Paid/admin approval,Paid/admin approval,REST,Broad,Third-party ecosystem,Medium,Workspace/plan access,https://clay.com,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
61,GitHub,Developer/Infra/Data,https://docs.github.com/rest,"Developer tooling, infrastructure, observability or data platform.",PAT; OAuth2; GitHub App,Self-serve,Self-serve,REST + GraphQL,Broad,Official/third-party MCP ecosystem,High,Token/app permissions,https://docs.github.com/rest,High,research-pass; audit recommended,"Official GitHub docs: REST API is documented broadly; PAT, GitHub App tokens and OAuth-style app auth are supported."
62,Vercel,Developer/Infra/Data,https://vercel.com/docs/rest-api,"Developer tooling, infrastructure, observability or data platform.",Bearer token; OAuth2,Self-serve,Self-serve,REST,Broad,Third-party ecosystem,High,Team/project scopes,https://vercel.com/docs/rest-api,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
63,Netlify,Developer/Infra/Data,https://docs.netlify.com/api,"Developer tooling, infrastructure, observability or data platform.",Personal access token; OAuth2,Self-serve,Self-serve,REST,Broad,Third-party ecosystem,High,Token,https://docs.netlify.com/api,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
64,Cloudflare,Developer/Infra/Data,https://developers.cloudflare.com/api,"Developer tooling, infrastructure, observability or data platform.",API token; API key,Self-serve,Self-serve,REST,Broad,Official/third-party MCP ecosystem,High,Token scopes,https://developers.cloudflare.com/api,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
65,Supabase,Developer/Infra/Data,https://supabase.com/docs,"Developer tooling, infrastructure, observability or data platform.",API key; JWT; OAuth2 for integrations,Self-serve,Self-serve,REST + GraphQL,Broad,Third-party ecosystem,High,Project/service credentials,https://supabase.com/docs,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
66,Neo4j,Developer/Infra/Data,https://neo4j.com/docs/api,"Developer tooling, infrastructure, observability or data platform.",Bearer token; Basic depending on product,Self-serve,Self-serve,REST,Moderate,Third-party ecosystem,High,Deployment/auth context,https://neo4j.com/docs/api,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
67,Snowflake,Developer/Infra/Data,https://docs.snowflake.com,"Developer tooling, infrastructure, observability or data platform.",Key pair; OAuth2; password,Paid/admin approval,Paid/admin approval,SQL/REST,Broad,Third-party ecosystem,Medium,Account/role/security policy,https://docs.snowflake.com,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
68,MongoDB Atlas,Developer/Infra/Data,https://mongodb.com/docs/atlas/api,"Developer tooling, infrastructure, observability or data platform.",API key/secret; OAuth2,Self-serve,Self-serve,REST,Broad,Third-party ecosystem,High,Project/org permissions,https://mongodb.com/docs/atlas/api,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
69,Datadog,Developer/Infra/Data,https://docs.datadoghq.com/api,"Developer tooling, infrastructure, observability or data platform.",API key + app key,Self-serve trial,Self-serve trial,REST,Broad,Third-party ecosystem,High,API/app keys,https://docs.datadoghq.com/api,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
70,Sentry,Developer/Infra/Data,https://docs.sentry.io/api,"Developer tooling, infrastructure, observability or data platform.",Auth token; API key; OAuth2,Self-serve,Self-serve,REST,Broad,Third-party ecosystem,High,Organization/project scopes,https://docs.sentry.io/api,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
71,Notion,Productivity/Project Mgmt,https://developers.notion.com,"Productivity, collaboration, project or work-management platform.",OAuth2; integration token,Self-serve,Self-serve,REST,Broad,Official/third-party MCP ecosystem,High,Integration capabilities/scopes,https://developers.notion.com,High,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
72,Airtable,Productivity/Project Mgmt,https://airtable.com/developers,"Productivity, collaboration, project or work-management platform.",PAT; OAuth2,Self-serve,Self-serve,REST,Broad,Third-party ecosystem,High,Base/workspace scopes,https://airtable.com/developers,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
73,Linear,Productivity/Project Mgmt,https://developers.linear.app,"Productivity, collaboration, project or work-management platform.",API key; OAuth2,Self-serve,Self-serve,GraphQL,Broad,Official/third-party MCP ecosystem,High,Workspace scopes,https://developers.linear.app,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
74,Jira,Productivity/Project Mgmt,https://developer.atlassian.com,"Productivity, collaboration, project or work-management platform.",OAuth2; API token; basic auth depending cloud context,Self-serve with restrictions,Self-serve with restrictions,REST + GraphQL-adjacent APIs,Broad,Third-party ecosystem,High,Atlassian app/tenant authorization,https://developer.atlassian.com,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
75,Asana,Productivity/Project Mgmt,https://developers.asana.com,"Productivity, collaboration, project or work-management platform.",OAuth2; PAT,Self-serve,Self-serve,REST,Broad,Third-party ecosystem,High,OAuth scopes,https://developers.asana.com,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
76,Monday.com,Productivity/Project Mgmt,https://developer.monday.com,"Productivity, collaboration, project or work-management platform.",API token; OAuth2,Self-serve,Self-serve,GraphQL,Broad,Third-party ecosystem,High,Workspace scopes,https://developer.monday.com,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
77,ClickUp,Productivity/Project Mgmt,https://clickup.com/api,"Productivity, collaboration, project or work-management platform.",API token; OAuth2,Self-serve,Self-serve,REST,Broad,Third-party ecosystem,High,Workspace authorization,https://clickup.com/api,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
78,Coda,Productivity/Project Mgmt,https://coda.io/developers,"Productivity, collaboration, project or work-management platform.",API token; OAuth2,Self-serve,Self-serve,REST,Broad,Third-party ecosystem,High,Doc scopes,https://coda.io/developers,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
79,Smartsheet,Productivity/Project Mgmt,https://smartsheet.com/developers,"Productivity, collaboration, project or work-management platform.",API token; OAuth2,Self-serve,Self-serve,REST,Broad,Third-party ecosystem,High,Token,https://smartsheet.com/developers,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
80,Harvest,Productivity/Project Mgmt,https://help.getharvest.com/api-v2,"Productivity, collaboration, project or work-management platform.",OAuth2; personal access token,Self-serve,Self-serve,REST,Broad,Third-party ecosystem,High,Account/app authorization,https://help.getharvest.com/api-v2,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
81,Stripe,Finance/Fintech,https://docs.stripe.com/api,"Payments, banking, accounting, financial data or fintech platform.",API key; OAuth2; restricted keys,Self-serve,Self-serve,REST,Broad,Official/third-party MCP ecosystem,High,Connected account/OAuth for platform use,https://docs.stripe.com/api,Medium,research-pass; audit recommended,Classification is based on the assignment seed URL plus current public documentation checks where available; verify gated/pricing details before submission.
